TEST, proc_image mean, proc_image var, off_control mean, off_control var, image_event mean, image_event var, input mean, input var, end_sleep mean, end_sleep var, sub_image_1 mean, sub_image_1 var, sub_image_2 mean, sub_image_2 var, sub_image_3 mean, sub_image_3 var
1. SITL + sim cam  (dronecontrol over WSL network), 0.30795531699871137, 9.804779577627698e-05, 0.002207320186452987, 1.4787921887756464e-07, 1.2977422350475868e-06, 1.910839317425251e-13, 0.06436688311178512, 0.20493987032201866, 0.015536400398404827, 2.0864746346308714e-06, 0.278136271978863, 8.061005665895135e-05, 0.02869310597559823, 3.3360086284146385e-05, 0.0007090845949524843, 1.1608786664650609e-07
2. SITL + real cam  (dronecontrol over WSL network), 0.03633933281800892, 0.00028514848486374674, 0.0022817639250923344, 7.177595452238922e-07, 1.5210095984127117e-06, 1.0127661442206037e-12, 0.06507055810878008, 2.8918877623426047, 0.015290393235740466, 3.153942093924622e-06, 0.002593348859431084, 0.00012334871348172315, 0.03274144258954773, 5.306609187055967e-05, 0.0005442220679274229, 2.457441974268181e-08
3. HITL AC + sim cam (dronecontrol over radio), 2.027825356793764, 0.3236023329745837, 0.004824763231243878, 5.338373795855582e-06, 3.4382999899662537e-06, 7.049608382796084e-12, 0.07525861606916136, 0.4661054089396516, 0.0036245679119437336, 1.6552611429092093e-05, 1.879069727187489, 0.31892928417755456, 0.1437919175937452, 0.0017216138064414578, 0.00135208674375491, 1.5445947883997965e-06
3.2 HITL AC + real cam (dronecontrol over radio), 0.17004416822205282, 0.0042045123983176875, 0.015283910018897444, 6.430414852959388e-05, 4.410181102462871e-06, 2.5427154973644548e-11, 0.06044849793059864, 0.4272611334430514, 0.001574012976348761, 3.611856186609592e-07, 0.00855652401889178, 0.0007183670939722166, 0.15697457897165581, 0.0027732173726205183, 0.00043804891181104373, 7.19735640548537e-07
4. HITL battery + sim cam (dronecontrol over serial), 2.4819357592952387, 0.8896318282680429, 0.008314583057143582, 3.408201183791879e-05, 4.2190638092571526e-05, 1.3643213883337963e-07, 0.13100672481731232, 0.5607961649354386, 0.0030317205961497306, 1.374682040886521e-05, 2.3220894609809597, 0.8517782345876913, 0.15391955888572045, 0.00477175141418484, 0.0004455518380907398, 1.0909061155863965e-06
5. HITL battery + real cam (dronecontrol over serial), 0.23118327063915545, 0.029563496465278154, 0.01425055023224726, 7.123243391811506e-05, 5.179637236162286e-06, 1.0750016502672128e-10, 0.050170657398077786, 0.3163190909809148, 0.002003486694230634, 2.9705880054870448e-06, 0.008037155368521164, 0.0007516308946570315, 0.2126441471516315, 0.002692363596598758, 0.0015234791190023083, 1.9857277554632363e-06
bis (dc over serial), 0.25545943656467346, 0.004722669375886405, 0.010196633012436842, 4.155756360496875e-05, 4.816599501953135e-06, 6.6763286176873e-11, 0.1785991138453882, 9.174619185866582, 0.0018733478304273233, 1.85116930878478e-06, 0.00849098994029845, 0.0011075294609469307, 0.24214878616417815, 0.003091176250339095, 0.001651787385569956, 1.9653172384420603e-06
(dronecontrol over radio), 0.1776645116255605, 0.002581990752026762, 0.007674452890133407, 1.2814511024576921e-05, 3.847795965147078e-06, 1.1382087833016937e-11, 0.044413038278653366, 0.30116912039566174, 0.0015925322292110941, 5.911729956832359e-07, 0.0056134538004487, 0.0009944153857659903, 0.16839786365246628, 0.0009246195698230995, 0.0013357570403578181, 8.433923178217602e-07
